"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8701","add farm","tests.test_cases.regular_farmer_test_cases","2026-05-05","passed","2026-05-05","TestOnboarding","TestOnboarding","",""
"","64699","Onboarding the farms and crops","tests.test_cases.regular_farmer_test_cases","2026-05-05","failed","2026-05-05","TestOnboarding","TestOnboarding","",""
"","33078","Verify user can login with valid credentials","tests.test_cases.regular_farmer_test_cases","2026-05-05","passed","2026-05-05","TestLogin","test_login_pytest","",""
