"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Login Flow","0","Authentication","1","0","Successful Login","0"
"0","Crop Health & Diary Flow","1","Diary Management","0","0","Crop Health & Diary Flow","0"
"0","Crop Health & Diary Flow","1","Diary Management","0","0","Crop Health & Diary Flow - Alternative","0"
