"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Diagnosis Updates Flow","4","Authentication","1","0","","0"
"0","Diagnosis Updates Flow","1","Authentication","0","0","Successful Diagnosis Updates","0"
