"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Diagnosis Updates Flow","5","Authentication","0","0","","0"
"0","Diagnosis Updates Flow","0","Authentication","1","0","Successful Diagnosis Updates","0"
