"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26119","Onboarding the farms and crops","tests.test_cases.regular_farmer_test_cases","Thu Apr 16 19:08:36 IST 2026","failed","Thu Apr 16 19:09:02 IST 2026","TestOnboarding","TestOnboarding","",""
"","27281","add farm","tests.test_cases.regular_farmer_test_cases","Thu Apr 16 19:07:53 IST 2026","failed","Thu Apr 16 19:08:20 IST 2026","TestOnboarding","TestOnboarding","",""
"","31559","Verify user can login with valid credentials","tests.test_cases.regular_farmer_test_cases","Thu Apr 16 19:07:12 IST 2026","failed","Thu Apr 16 19:07:44 IST 2026","TestLogin","test_login_pytest","",""
