"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2014","FC_001 -- Crop Health Diary, Weather & Moisture Flow","tests.test_cases.state_farmer_test_cases","Fri May 22 12:23:05 IST 2026","broken","Fri May 22 12:23:07 IST 2026","TestCropHealth","test_crop_health_pytest","",""
"","48117","Verify user can login with valid credentials","tests.test_cases.state_farmer_test_cases","Fri May 22 12:22:08 IST 2026","broken","Fri May 22 12:22:56 IST 2026","TestLogin","test_login_pytest","",""
