"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Onboarding Flow","0","Onboarding","1","0","Farm and crop onboarding","0"
"0","Login Flow","0","Authentication","1","0","Successful Login","0"
