"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26529","Onboarding the farms and crops","tests.test_cases.regular_farmer_test_cases","2026-04-12","failed","2026-04-12","TestOnboarding","TestOnboarding","",""
"","27100","add farm","tests.test_cases.regular_farmer_test_cases","2026-04-12","failed","2026-04-12","TestOnboarding","TestOnboarding","",""
"","18434","Verify user can login with valid credentials","tests.test_cases.regular_farmer_test_cases","2026-04-12","broken","2026-04-12","TestLogin","test_login_pytest","",""
