"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","Onboarding Flow","0","Onboarding","0","0","Successful Onboarding","0"
"0","Login Flow","1","Authentication","0","0","Successful Login","0"
