Test Name,Status,Duration (s),Suite,Message
Dashboard → Add Farmer → Add Farm → Add Crop,BROKEN,0.0,N/A,"urllib3.exceptions.MaxRetryError: HTTPConnectionPool(host='127.0.0.1', port=4723): Max retries exceeded with url: /session (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=4723): F"
Verify user can login with valid credentials,BROKEN,0.0,N/A,"urllib3.exceptions.MaxRetryError: HTTPConnectionPool(host='127.0.0.1', port=4723): Max retries exceeded with url: /session (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=4723): F"
