"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Login Flow","0","Authentication","1","0","Successful Login","0"
"0","Crop Health Flow","1","Crophealth","0","0","Crop Health & Diary Flow - Alternative","0"
"0","Crop Health Flow","0","Crophealth","1","0","Crop Health & Diary Flow","0"
