"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31861","add farm","tests.test_cases.regular_farmer_test_cases","Thu Apr 16 17:21:58 IST 2026","failed","Thu Apr 16 17:22:30 IST 2026","TestOnboarding","TestOnboarding","",""
"","35597","Onboarding the farms and crops","tests.test_cases.regular_farmer_test_cases","Thu Apr 16 17:22:46 IST 2026","failed","Thu Apr 16 17:23:21 IST 2026","TestOnboarding","TestOnboarding","",""
"","30187","Verify user can login with valid credentials","tests.test_cases.regular_farmer_test_cases","Thu Apr 16 17:21:12 IST 2026","failed","Thu Apr 16 17:21:42 IST 2026","TestLogin","test_login_pytest","",""
