CRASH START: 05-03 14:14:21.905 22223 22223 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
05-03 14:14:22.881 22223 22223 I AconfigPackage: android.companion.virtualdevice.flags is mapped to system
05-03 14:14:22.881 22223 22223 I AconfigPackage: android.uprobestats.flags is mapped to system
05-03 14:14:22.881 22223 22223 I AconfigPackage: com.android.net.thread.platform.flags is mapped to system
05-03 14:14:22.881 22223 22223 I AconfigPackage: android.view.contentprotection.flags is mapped to system
05-03 14:14:22.881 22223 22223 I AconfigPackage: com.android.server.dreams is mapped to system
05-03 14:14:22.882 22223 22223 I AconfigPackage: com.android.graphics.surfaceflinger.flags is mapped to system
05-03 14:14:22.882 22223 22223 I AconfigPackage: com.android.hardware.input is mapped to system
05-03 14:14:22.882 22223 22223 I AconfigPackage: android.sdk is mapped to system
05-03 14:14:22.882 22223 22223 I AconfigPackage: com.android.input.flags is mapped to system
05-03 14:14:22.883 22223 22223 I AconfigPackage: android.tracing is mapped to system
05-03 14:14:22.883 22223 22223 I AconfigPackage: com.android.server.biometrics is mapped to system
05-03 14:14:22.883 22223 22223 I AconfigPackage: android.view.contentcapture.flags is mapped to system
05-03 14:14:22.883 22223 22223 I AconfigPackage: android.app.job is mapped to system
05-03 14:14:22.883 22223 22223 I AconfigPackage: android.content.res is mapped to system
05-03 14:14:22.883 22223 22223 I AconfigPackage: android.net.platform.flags is mapped to system
05-03 14:14:22.883 22223 22223 I AconfigPackage: com.android.aconfig.flags is mapped to system
05-03 14:14:22.885 22223 22223 I AconfigPackage: com.android.graphics.flags is mapped to system
05-03 14:14:22.885 22223 22223 I AconfigPackage: android.server.app is mapped to system
05-03 14:14:22.885 22223 22223 I AconfigPackage: android.speech.flags is mapped to system
05-03 14:14:22.885 22223 22223 I AconfigPackage: com.android.server.stats is mapped to system
05-03 14:14:22.885 22223 22223 I AconfigPackage: android.hardware.biometrics is mapped to system
05-03 14:14:22.885 22223 22223 I AconfigPackage: android.car.feature is mapped to system
05-03 14:14:22.885 22223 22223 I AconfigPackage: android.adpf is mapped to system
