"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Onboarding Flow","0","Authentication","0","0","Successful Onboarding","0"
"0","Login Flow","1","Authentication","0","0","Successful Login","0"
